title,actor,link,rate
肖申克的救赎,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...,https://movie.douban.com/subject/1292052/,9.6
这个杀手不太冷,导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔丽·波特曼 ...,https://movie.douban.com/subject/1295644/,9.4
霸王别姬,导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,https://movie.douban.com/subject/1291546/,9.5
阿甘正传,导演: Robert Zemeckis   主演: Tom Hanks / Robin Wright Penn / Gary Sinise,https://movie.douban.com/subject/1292720/,9.4
美丽人生,导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...,https://movie.douban.com/subject/1292063/,9.5
千与千寻,导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,https://movie.douban.com/subject/1291561/,9.2
辛德勒的名单,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...,https://movie.douban.com/subject/1295124/,9.4
泰坦尼克号,导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...,https://movie.douban.com/subject/1292722/,9.2
盗梦空间,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...,https://movie.douban.com/subject/3541415/,9.2
机器人总动员,导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...,https://movie.douban.com/subject/2131459/,9.3
海上钢琴师,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...,https://movie.douban.com/subject/1292001/,9.2
三傻大闹宝莱坞,导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...,https://movie.douban.com/subject/3793023/,9.1
忠犬八公的故事,导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...,https://movie.douban.com/subject/3011091/,9.2
放牛班的春天,导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 杰拉尔·朱诺 Géra...,https://movie.douban.com/subject/1291549/,9.2
大话西游之大圣娶亲,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,https://movie.douban.com/subject/1292213/,9.1
教父,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...,https://movie.douban.com/subject/1291841/,9.2
龙猫,导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,https://movie.douban.com/subject/1291560/,9.1
乱世佳人,导演: Victor Fleming / George Cukor   主演: 克拉克·盖博 Clark Gable / ...,https://movie.douban.com/subject/1300267/,9.2
楚门的世界,导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,https://movie.douban.com/subject/1292064/,9.0
天堂电影院,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东娜拉·塔莉 Antonel...,https://movie.douban.com/subject/1291828/,9.1
当幸福来敲门,导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...,https://movie.douban.com/subject/1849031/,8.9
触不可及,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,https://movie.douban.com/subject/6786002/,9.1
搏击俱乐部,导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...,https://movie.douban.com/subject/1292000/,9.0
十二怒汉,导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,https://movie.douban.com/subject/1293182/,9.3
指环王3：王者无敌,导演: 彼得·杰克逊 Peter Jackson   主演: 维果·莫腾森 Viggo Mortensen / ...,https://movie.douban.com/subject/1291552/,9.1
无间道,导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生,https://movie.douban.com/subject/1307914/,9.0
