username,content,reply_time
逍遥顽童gyp,金樽清酒斗十千，玉盘珍羞直万钱……,2017-02-15 17:22
爱斯唯珞,冲天香阵透长安，满城尽带黄金甲,2017-02-15 20:27
慢篮慢潇,酒酣胸胆尚开张，鬓微霜，又何妨。,2017-02-15 20:41
岸芷汀兰叫小醉,花间一壶酒，独酌无相亲,2017-02-15 22:38
kulei008,对酒当歌，人生几何,2017-02-15 22:47
旺旺雪饼whs,浊酒一杯家万里，燕然未勒归无计,2017-02-15 22:51
曲屈区,借问酒家何处有，牧童遥指杏花村,2017-02-16 13:29
回忆沙漠windy,葡萄美酒夜光杯，欲饮琵琶马上催,2017-02-16 18:39
做特殊的自己,今日听君歌一曲，暂凭杯酒长精神。,2017-02-16 19:44
做特殊的自己,千里莺啼绿映红，水村山郭酒旗风。,2017-02-16 19:46
铝电员工,五花马，千金裘，呼儿强出换美酒，与尔通宵万古愁,2017-02-16 19:56
铝电员工,同消万古愁,2017-02-16 19:57
铝电员工,明月几时有，把酒问青天,2017-02-16 19:57
鹿晗love5520,把酒话桑麻,2017-02-16 23:05
爱杜不变哦,买花载酒长安市，又争似家山见桃李。,2017-02-17 11:34
