name,link,price,shop,location,deal-cnt
皇包车 日本大阪包车一日游 京都奈良 名古屋 关西包车自由行,https://click.simba.taobao.com/cc_im?p=%BE%A9%B6%BC&s=1013268036&k=493&e=cjcOozuRRA77sC1rGmMsGCQUD2PkDleoE724XzMI6KKK4VPcIpLzNzV9VJCmmqLHlw7mKenWWTweYMOWzEkzMU8l%2BfnQdY78RcIjuP6kNShtnJ2eWXZER6T%2B0gaicydtpsnqiYwAJ3jUhBRkAqscd3gQLAB5KO5P7Q88gpJ%2BHmzsi3XyNYUMFnEbmXLjLBaOWiGh9HbFdNyM3%2BaoHMvr9HBhFu%2Fonl0i7Iihn6Vm3cmxd%2Bs0SnO9DYTPlkaV8EuGYu8CMs25T2xeByyqewlncNSWhmY%2Bs1DEZ1Ywz2%2B4NlzxIHwXDwBQHYNaD2b%2FmT5vataSyD2OSByiLhCSNfQ8a5w5gKwSYyXW%2BlrnpnQTtUtwJhP7sggkvSAGtEjkGB%2Fe0UqWSrADvyGV%2FheQHmuuT9dCutIkL5FrlbgC8arwiW5DDprNLdxuRnSzYqNZ89nitCGR%2BByUjkfx0GVZJ86svxqUm2%2B%2FqrXfx44pjp4zI00%3D,440.00,皇包车旅游旗舰店,,84
京都和服体验预约 清水寺first和服租赁出租 日本旅游跟拍一日游,https://detail.tmall.com/item.htm?id=534064449865&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=0,58.00,桂林发现美旅游专营店,,357
京都和服租赁预约日本first和服体验冈本和服预订出租清水寺1日游,https://detail.tmall.com/item.htm?id=541583504808&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=0,58.00,北京出去玩旅游专营店,,223
京都实店]血糖仪试纸包 可装Glucocard GT-1640/Test Strip Ⅱ2,https://item.taobao.com/item.htm?id=536369444605&ns=1&abbucket=0#detail,135.00,极尽一时繁华,北京,38
日本京都GT-1810血糖仪试纸1820型GLUCOCARD G sensor爱科来50条,https://item.taobao.com/item.htm?id=542108572698&ns=1&abbucket=0#detail,125.00,亲爱的多多宝贝0803,北京,20
爱科来arkray京都1920试纸 适用GT-1920/1910/1970/1941型血糖仪,https://item.taobao.com/item.htm?id=539943689387&ns=1&abbucket=0#detail,130.00,爱杨妈妈8,北京,13
进口日本京都GT-1640血糖仪试纸 2型京都1640血糖试纸17年１１月,https://item.taobao.com/item.htm?id=22177236992&ns=1&abbucket=0#detail,118.00,北京血糖网,北京,15
新效期日本京都血糖仪GT-1640/50家用血糖测试仪试纸条50片独立装,https://item.taobao.com/item.htm?id=538207404459&ns=1&abbucket=0#detail,132.00,康语家庭健康品,北京,5
日本京都GT-1640血糖测试纸50片装独立包装带针 送棉片，正品包邮,https://item.taobao.com/item.htm?id=534728583692&ns=1&abbucket=0#detail,128.00,周氏姐妹,北京,5
爱科来京都GT-1920 1970血糖仪试纸50条独立GLUCOCARD 01 sensor,https://item.taobao.com/item.htm?id=542144195854&ns=1&abbucket=0#detail,145.00,亲爱的多多宝贝0803,北京,2
日本京都GT-1640血糖仪试纸GLUCOCARD 2型1640血糖试纸17年1月,https://item.taobao.com/item.htm?id=527484829718&ns=1&abbucket=0#detail,168.00,相机旅行,北京,3
爱科来日本京都GT-1820型血糖仪家用血糖监测仪器单机 不含试纸,https://item.taobao.com/item.htm?id=538240368562&ns=1&abbucket=0#detail,498.00,康语家庭健康品,北京,1
日本京都GT-1810血糖仪试纸1820型GLUCOCARD G sensor爱科来50条,https://item.taobao.com/item.htm?id=539174504104&ns=1&abbucket=0#detail,128.00,爱杨妈妈8,北京,1
日本京都GT-1810血糖仪试纸1820型GLUCOCARD G sensor爱科来50条,https://item.taobao.com/item.htm?id=537173587758&ns=1&abbucket=0#detail,125.00,月森物部,上海,52
日本京都 原装 Glucocard GT-1640/50Test Strip Ⅱ2血糖仪试纸,https://item.taobao.com/item.htm?id=536406596317&ns=1&abbucket=0#detail,120.00,福润格格,辽宁 沈阳,15
日本京都GT-1920血糖仪试纸GLUCOCARD 01 sensor爱科来50条,https://item.taobao.com/item.htm?id=537247022193&ns=1&abbucket=0#detail,120.00,月森物部,上海,14
日本爱科来京都GT-1640 1650血糖仪试纸50条送针独立 效期新包邮,https://item.taobao.com/item.htm?id=44874721342&ns=1&abbucket=0#detail,148.00,淘试纸吧,江苏 无锡,14
行货日本京都 血糖试纸 GT-1640 50片/进口试纸50片欢迎选择,https://item.taobao.com/item.htm?id=533755214030&ns=1&abbucket=0#detail,113.00,彩虹d约定,江苏 常州,17
爱科来arkray日本京都血糖试纸50片配针1640.1810.1820.1920.1941,https://item.taobao.com/item.htm?id=543187994598&ns=1&abbucket=0#detail,158.00,康仁医疗商贸有限公司,,8
百程日本关西周游卡2/3日交通卡大阪京都奈良电车地铁巴士服务,https://detail.tmall.com/item.htm?id=538414326158&ns=1&abbucket=0,105.00,北京佰程旅游专卖店,北京,34
杢兵卫 日本米其林1星餐厅 京都怀石料理 午餐/晚餐 超高性价比,https://item.taobao.com/item.htm?id=542148115428&ns=1&abbucket=0#detail,429.00,liudayu26,北京,2
穷游自营日本京都Q-HOME祇园花见和服体验独家日游线路可选摄影08,https://detail.tmall.com/item.htm?id=536833527028&ns=1&abbucket=0,246.00,穷游自由行旗舰店,北京,1
超值价格！大阪出发京都1日游 【金阁寺+清水寺+伏见稻荷大社】,https://detail.tmall.com/item.htm?id=43686951152&ns=1&abbucket=0,388.00,北京扬程国际旅行社专营店,,5
日本东京大阪京都自由行私人向导地陪商务翻译和服体验跟拍旅拍,https://item.taobao.com/item.htm?id=539710457532&ns=1&abbucket=0#detail,780.00,amo萝卜,日本,2
超人气京都岚山观光小火车（大阪机场及市内柜台领取）,https://detail.tmall.com/item.htm?id=540793041837&ns=1&abbucket=0,118.00,北京扬程国际旅行社专营店,,1
日本关西周游卡KANSAI THRU PASS2日券/3日券 大阪奈良无限乘,https://detail.tmall.com/item.htm?id=520788761157&ns=1&abbucket=0,280.00,北京新日国际旅行社专营店,,1
HIS日本旅行 自由行京都祗园角 门票 换票证京舞花道茶道文化,https://detail.tmall.com/item.htm?id=527962720056&ns=1&abbucket=0,138.00,北京新日国际旅行社专营店,,2
日本进口京都1640血糖试纸GT1640/50片血糖仪试纸条独立装爱科来,https://item.taobao.com/item.htm?id=538741315916&ns=1&abbucket=0#detail,139.00,正品血糖仪,北京,0
爱科来arkray日本京都GT-1941 01-mini血糖仪配50片血糖试纸JR,https://item.taobao.com/item.htm?id=544859294547&ns=1&abbucket=0#detail,99.00,血糖试纸一号店,北京,2
日本京都GT-1640血糖仪血糖测试纸50片装独立包装带针 正品包邮,https://item.taobao.com/item.htm?id=544074402360&ns=1&abbucket=0#detail,129.00,网咯小鱼,北京,2
日本京都 血糖试纸 50片 Glucocard GT-1640/Test Strip Ⅱ2,https://item.taobao.com/item.htm?id=45534891205&ns=1&abbucket=0#detail,120.00,大海不曾怀疑天的蓝o,北京,14
爱科来(arkray) 日本京都GT-1920/1941型血糖仪 配血糖试纸50条,https://item.taobao.com/item.htm?id=45439560224&ns=1&abbucket=0#detail,140.00,精品购物亿家家,北京,2
爱科来(arkray)日本京都 血糖试纸GT-1640/50血糖试纸50支针,https://item.taobao.com/item.htm?id=45439356179&ns=1&abbucket=0#detail,650.00,精品购物亿家家,北京,3
包邮正品京都日本进口血糖仪GT1640 家用血糖仪搭配试纸使用,https://item.taobao.com/item.htm?id=535857381272&ns=1&abbucket=0#detail,178.00,jsl3353774005,浙江 绍兴,0
京都GT-1810试纸 1820血糖仪试纸 Gsensor 50条日本爱科来,https://item.taobao.com/item.htm?id=540948800134&ns=1&abbucket=0#detail,150.00,明天的秋水,北京,0
日本京都大津 雄琴温泉 雄山庄酒店预订 琵琶湖观景 私汤 清水寺,https://detail.tmall.com/item.htm?id=525498881932&ns=1&abbucket=0,2999.00,北京九九有方旅游专营店,,0
日本京都 大原溫泉 汤元之宿 大原山庄酒店预订 民宿味增锅自由行,https://detail.tmall.com/item.htm?id=536248905313&ns=1&abbucket=0,1390.00,北京九九有方旅游专营店,,0
